id,section,section_vi,japanese,reading,vietnamese,usage,level,example_jp,example_vi
v168,2.2,Họp hành (bổ sung),異議,igi,Ý kiến phản đối,Objection,J2,異議はありませんか。,Có ý kiến phản đối không?
v169,2.2,Họp hành (bổ sung),可決,kaketsu,Thông qua,Approve (vote),J2,提案が可決されました。,Đề xuất được thông qua.
v170,2.2,Họp hành (bổ sung),否決,hiketsu,Bác bỏ,Reject (vote),J2,提案が否決されました。,Đề xuất bị bác bỏ.
v171,2.2,Họp hành (bổ sung),審議,shingi,Thẩm nghị / Xem xét,Deliberation,J2,この案件は来週審議します。,Vụ này tuần sau xem xét.
v172,2.2,Họp hành (bổ sung),出席者,shussekisha,Người tham dự,Attendee,J4,出席者は10名です。,Có 10 người tham dự.
v173,2.2,Họp hành (bổ sung),欠席,kesseki,Vắng mặt,Absent,J4,本日の会議は欠席いたします。,Hôm nay tôi vắng họp.
v174,2.2,Họp hành (bổ sung),定例会議,teirei kaigi,Họp định kỳ,Regular meeting,J4,毎週月曜に定例会議があります。,Họp định kỳ thứ Hai mỗi tuần.
v175,2.2,Họp hành (bổ sung),臨時会議,rinji kaigi,Họp bất thường,Emergency meeting,J3,臨時会議を招集します。,Triệu tập họp bất thường.
v176,2.2,Họp hành (bổ sung),多数決,tasuuketsu,Biểu quyết đa số,Majority vote,J2,多数決で決定します。,Quyết định bằng đa số.
v177,2.2,Họp hành (bổ sung),意見交換,iken koukan,Trao đổi ý kiến,Exchange opinions,J3,活発な意見交換が行われました。,Diễn ra trao đổi ý kiến sôi nổi.
v178,2.2,Họp hành (bổ sung),結論,ketsuron,Kết luận,Conclusion,J3,結論を出しましょう。,Hãy đưa ra kết luận.
v179,2.2,Họp hành (bổ sung),要約,youyaku,Tóm tắt,Summary,J3,会議の要約をお送りします。,Gửi bản tóm tắt cuộc họp.
v180,2.3,Email & Văn bản (bổ sung),お知らせ,oshirase,Thông báo,Notice/announcement,J4,重要なお知らせがあります。,Có thông báo quan trọng.
v181,2.3,Email & Văn bản (bổ sung),ご案内,goannai,Hướng dẫn / Giới thiệu,Guidance,J4,新サービスのご案内です。,Giới thiệu dịch vụ mới.
v182,2.3,Email & Văn bản (bổ sung),ご依頼,goirai,Yêu cầu (kính),Request (polite),J3,ご依頼の件、承りました。,Đã tiếp nhận yêu cầu.
v183,2.3,Email & Văn bản (bổ sung),ご報告,gohoukoku,Báo cáo (kính),Report (polite),J3,進捗のご報告です。,Đây là báo cáo tiến độ.
v184,2.3,Email & Văn bản (bổ sung),ご査収,gosashuu,Xin xem và nhận,Please review and accept,J2,添付ファイルをご査収ください。,Xin xem và nhận file đính kèm.
v185,2.3,Email & Văn bản (bổ sung),ご検討,gokentou,Xem xét (kính),Please consider,J3,ご検討のほどよろしくお願いいたします。,Xin vui lòng xem xét.
v186,2.3,Email & Văn bản (bổ sung),ご了承,goryoushou,Thông cảm / Chấp thuận,Understanding,J3,何卒ご了承ください。,Xin hãy thông cảm.
v187,2.3,Email & Văn bản (bổ sung),ご容赦,goyousha,Tha thứ,Forgiveness,J2,ご容赦いただければ幸いです。,Mong được tha thứ.
v188,2.3,Email & Văn bản (bổ sung),拝啓,haikei,Kính gửi (thư trang trọng),Dear Sir/Madam,J2,拝啓 時下ますますご清栄のこととお慶び申し上げます。,"Kính gửi, chúc quý ngài thịnh vượng."
v189,2.3,Email & Văn bản (bổ sung),敬具,keigu,Kính thư (kết thư),Sincerely,J2,何卒よろしくお願い申し上げます。敬具,Kính mong giúp đỡ. Kính thư.
v190,2.3,Email & Văn bản (bổ sung),追伸,tsuishin,P.S. / Tái bút,Postscript,J3,追伸：来週の予定もお知らせください。,P.S.: Cũng cho biết lịch tuần sau.
v191,2.3,Email & Văn bản (bổ sung),別紙,besshi,Tài liệu đính kèm (giấy),Attached document,J3,詳細は別紙をご参照ください。,Chi tiết xin xem tài liệu kèm.
v192,2.3,Email & Văn bản (bổ sung),草案,souan,Bản thảo / Dự thảo,Draft,J2,契約書の草案を作成しました。,Đã lập dự thảo hợp đồng.
v193,2.3,Email & Văn bản (bổ sung),修正,shuusei,Sửa chữa / Chỉnh sửa,Revision,J3,資料を修正しました。,Đã chỉnh sửa tài liệu.
v194,2.3,Email & Văn bản (bổ sung),承認,shounin,Phê duyệt,Approval,J3,上司の承認を得てください。,Hãy xin phê duyệt sếp.
v195,2.3,Email & Văn bản (bổ sung),却下,kyakka,Từ chối / Bác bỏ,Rejection,J2,申請が却下されました。,Đơn bị bác bỏ.
v196,2.3,Email & Văn bản (bổ sung),通達,tsuutatsu,Thông đạt / Chỉ thị,Directive,J2,本社から通達がありました。,Có chỉ thị từ trụ sở chính.
v197,2.3,Email & Văn bản (bổ sung),回覧,kairan,Luân chuyển (tài liệu),Circulate,J3,この文書を回覧してください。,Hãy luân chuyển văn bản này.
v198,2.3,Email & Văn bản (bổ sung),押印,ouin,Đóng dấu,Stamp/seal,J3,契約書に押印をお願いします。,Xin đóng dấu vào hợp đồng.
v199,2.3,Email & Văn bản (bổ sung),捺印,natsuin,Đóng dấu (cá nhân),Personal seal,J3,捺印をお願いいたします。,Xin đóng dấu cá nhân.
v200,2.4,Kinh doanh (bổ sung),売上高,uriage daka,Tổng doanh thu,Total sales revenue,J3,今年度の売上高は10億円です。,Tổng doanh thu năm nay 1 tỷ yên.
v201,2.4,Kinh doanh (bổ sung),営業利益,eigyou rieki,Lợi nhuận kinh doanh,Operating profit,J2,営業利益が前年比20%増加しました。,Lợi nhuận KD tăng 20%.
v202,2.4,Kinh doanh (bổ sung),経常利益,keijou rieki,Lợi nhuận thường xuyên,Ordinary profit,J2,経常利益は5億円です。,Lợi nhuận thường xuyên 500 triệu yên.
v203,2.4,Kinh doanh (bổ sung),純利益,jun rieki,Lợi nhuận ròng,Net profit,J2,純利益が過去最高を記録しました。,Lợi nhuận ròng cao nhất lịch sử.
v204,2.4,Kinh doanh (bổ sung),赤字,akaji,Lỗ / Thâm hụt,Deficit/loss,J3,今期は赤字になりそうです。,Kỳ này có vẻ sẽ lỗ.
v205,2.4,Kinh doanh (bổ sung),黒字,kuroji,Lãi / Thặng dư,Surplus/profit,J3,来期は黒字化を目指します。,Kỳ sau nhắm đến có lãi.
v206,2.4,Kinh doanh (bổ sung),債務,saimu,Nợ / Nghĩa vụ tài chính,Debt/liability,J1,債務を返済する計画です。,Có kế hoạch trả nợ.
v207,2.4,Kinh doanh (bổ sung),債権,saiken,Quyền đòi nợ / Trái quyền,Credit/claim,J1,債権の回収を急ぎます。,Gấp thu hồi nợ.
v208,2.4,Kinh doanh (bổ sung),資産,shisan,Tài sản,Assets,J2,会社の総資産は100億円です。,Tổng tài sản công ty 10 tỷ yên.
v209,2.4,Kinh doanh (bổ sung),負債,fusai,Nợ phải trả,Liabilities,J2,負債を減らす必要があります。,Cần giảm nợ phải trả.
v210,2.4,Kinh doanh (bổ sung),配当金,haitoukin,Cổ tức,Dividend,J2,配当金を増やします。,Tăng cổ tức.
v211,2.4,Kinh doanh (bổ sung),為替,kawase,Tỷ giá,Exchange rate,J3,為替レートが変動しています。,Tỷ giá đang biến động.
v212,2.4,Kinh doanh (bổ sung),円高,endaka,Yên tăng giá,Strong yen,J3,円高が輸出企業に影響しています。,Yên mạnh ảnh hưởng xuất khẩu.
v213,2.4,Kinh doanh (bổ sung),円安,enyasu,Yên giảm giá,Weak yen,J3,円安で輸入コストが上がりました。,Yên yếu làm chi phí nhập tăng.
v214,2.4,Kinh doanh (bổ sung),年商,nenshou,Doanh thu hàng năm,Annual revenue,J3,年商50億円の企業です。,Công ty doanh thu 5 tỷ/năm.
v215,2.4,Kinh doanh (bổ sung),四半期,shihanki,Quý (3 tháng),Quarter,J3,第1四半期の結果を報告します。,Báo cáo kết quả Q1.
v216,2.4,Kinh doanh (bổ sung),上半期,kamihanki,Nửa đầu năm,First half,J3,上半期の業績は好調でした。,Nửa đầu năm KQ tốt.
v217,2.4,Kinh doanh (bổ sung),下半期,shimohanki,Nửa cuối năm,Second half,J3,下半期の目標を設定します。,Đặt mục tiêu nửa cuối năm.
v218,2.4,Kinh doanh (bổ sung),年度,nendo,Năm tài khóa,Fiscal year,J3,来年度の計画を策定中です。,Đang lập kế hoạch năm sau.
v219,2.4,Kinh doanh (bổ sung),実績,jisseki,Thành tích / Kết quả thực tế,Actual results,J3,前年度の実績を分析します。,Phân tích kết quả năm trước.
v220,2.4,Kinh doanh (bổ sung),目標,mokuhyou,Mục tiêu,Target/goal,J4,売上目標を達成しました。,Đạt mục tiêu doanh thu.
v221,2.4,Kinh doanh (bổ sung),達成,tassei,Đạt được,Achievement,J4,目標達成率は95%です。,Tỷ lệ đạt mục tiêu 95%.
v222,2.4,Kinh doanh (bổ sung),前年比,zennenhi,So với năm trước,Year-on-year,J3,前年比10%増です。,Tăng 10% so năm trước.
v223,2.4,Kinh doanh (bổ sung),前月比,zengetsuhi,So với tháng trước,Month-on-month,J3,前月比で5%減少しました。,Giảm 5% so tháng trước.
v224,2.4,Kinh doanh (bổ sung),見通し,mitooshi,Dự báo / Triển vọng,Outlook/forecast,J3,来期の見通しは明るいです。,Triển vọng kỳ sau sáng.
v225,2.4,Kinh doanh (bổ sung),業績,gyouseki,Thành tích kinh doanh,Business performance,J3,業績が回復しました。,Thành tích KD phục hồi.
v226,2.4,Kinh doanh (bổ sung),増収,zoushuu,Tăng doanh thu,Revenue increase,J2,増収増益を達成しました。,Đạt tăng doanh thu tăng lợi nhuận.
v227,2.4,Kinh doanh (bổ sung),減収,genshuu,Giảm doanh thu,Revenue decrease,J2,減収の原因を分析します。,Phân tích nguyên nhân giảm DT.
v228,2.4,Kinh doanh (bổ sung),増益,zoueki,Tăng lợi nhuận,Profit increase,J2,増益の要因は人件費削減です。,Tăng LN nhờ giảm nhân công.
v229,2.4,Kinh doanh (bổ sung),減益,geneki,Giảm lợi nhuận,Profit decrease,J2,減益が続いています。,Lợi nhuận tiếp tục giảm.
v230,2.5,Marketing & Bán hàng,マーケティング,maaketeingu,Marketing,Marketing,J3,マーケティング戦略を見直します。,Rà soát chiến lược marketing.
v231,2.5,Marketing & Bán hàng,ターゲット,taagetto,Đối tượng mục tiêu,Target,J3,ターゲット層は20代女性です。,Đối tượng: phụ nữ 20 tuổi.
v232,2.5,Marketing & Bán hàng,ブランド,burando,Thương hiệu,Brand,J3,ブランドイメージを向上させます。,Nâng cao hình ảnh thương hiệu.
v233,2.5,Marketing & Bán hàng,プロモーション,puromooshon,Khuyến mãi / Quảng bá,Promotion,J3,新製品のプロモーションを行います。,Quảng bá sản phẩm mới.
v234,2.5,Marketing & Bán hàng,キャンペーン,kyanpeen,Chiến dịch,Campaign,J4,夏のキャンペーンを企画しています。,Đang lên kế hoạch chiến dịch hè.
v235,2.5,Marketing & Bán hàng,広告,koukoku,Quảng cáo,Advertisement,J4,広告費を増やします。,Tăng chi phí quảng cáo.
v236,2.5,Marketing & Bán hàng,宣伝,senden,Tuyên truyền / Quảng bá,Publicity,J4,新サービスを宣伝します。,Quảng bá dịch vụ mới.
v237,2.5,Marketing & Bán hàng,顧客満足度,kokyaku manzokudo,Mức hài lòng KH,Customer satisfaction,J2,顧客満足度調査を実施します。,Khảo sát hài lòng KH.
v238,2.5,Marketing & Bán hàng,リピーター,ripiitaa,Khách quay lại,Repeat customer,J3,リピーターを増やす施策が必要です。,Cần biện pháp tăng khách quay lại.
v239,2.5,Marketing & Bán hàng,クレーム,kureemu,Khiếu nại,Complaint,J4,クレーム対応を改善します。,Cải thiện xử lý khiếu nại.
v240,2.5,Marketing & Bán hàng,アフターサービス,afutaa saabisu,Dịch vụ hậu mãi,After-sales service,J3,アフターサービスを充実させます。,Nâng cao dịch vụ hậu mãi.
v241,2.5,Marketing & Bán hàng,市場調査,shijou chousa,Nghiên cứu thị trường,Market research,J2,市場調査の結果を報告します。,Báo cáo kết quả NCTT.
v242,2.5,Marketing & Bán hàng,需要,juyou,Nhu cầu (thị trường),Demand,J3,需要が増加しています。,Nhu cầu đang tăng.
v243,2.5,Marketing & Bán hàng,供給,kyoukyuu,Cung cấp,Supply,J3,供給が追いついていません。,Cung không theo kịp cầu.
v244,2.5,Marketing & Bán hàng,市場,shijou,Thị trường,Market,J3,海外市場に進出します。,Tiến vào thị trường nước ngoài.
v245,2.5,Marketing & Bán hàng,販売,hanbai,Bán hàng,Sales,J4,販売数量が伸びています。,Số lượng bán tăng.
v246,2.5,Marketing & Bán hàng,仕入れ,shiire,Nhập hàng / Mua vào,Procurement,J3,仕入れ先を変更します。,Đổi nhà cung cấp.
v247,2.5,Marketing & Bán hàng,卸売,oroshiuri,Bán buôn,Wholesale,J3,卸売価格で提供します。,Cung cấp giá sỉ.
v248,2.5,Marketing & Bán hàng,小売,kouri,Bán lẻ,Retail,J3,小売価格は3000円です。,Giá bán lẻ 3000 yên.
v249,2.5,Marketing & Bán hàng,利益率,riekiritsu,Tỷ suất lợi nhuận,Profit margin,J2,利益率を改善する必要があります。,Cần cải thiện tỷ suất LN.
v250,2.6,Sản xuất & QC (bổ sung),品質管理,hinshitsu kanri,Quản lý chất lượng,Quality control (QC),J3,品質管理を徹底します。,Quản lý CL triệt để.
v251,2.6,Sản xuất & QC (bổ sung),品質保証,hinshitsu hoshou,Đảm bảo chất lượng,Quality assurance (QA),J2,品質保証部門が検査します。,Bộ phận QA sẽ kiểm tra.
v252,2.6,Sản xuất & QC (bổ sung),改善,kaizen,Cải thiện / Kaizen,Improvement (Kaizen),J3,改善活動を推進します。,Đẩy mạnh hoạt động kaizen.
v253,2.6,Sản xuất & QC (bổ sung),歩留まり,budomari,Tỷ lệ thành phẩm,Yield rate,J2,歩留まりを向上させます。,Nâng cao tỷ lệ thành phẩm.
v254,2.6,Sản xuất & QC (bổ sung),ロット,rotto,Lô hàng,Lot,J3,ロットごとに検査します。,Kiểm tra theo lô.
v255,2.6,Sản xuất & QC (bổ sung),試作,shisaku,Làm mẫu thử,Prototype,J3,試作品を作成しました。,Đã làm sản phẩm thử.
v256,2.6,Sản xuất & QC (bổ sung),量産,ryousan,Sản xuất hàng loạt,Mass production,J3,来月から量産を開始します。,Tháng sau bắt đầu SX hàng loạt.
v257,2.6,Sản xuất & QC (bổ sung),金型,kanagata,Khuôn (kim loại),Mold/die,J3,金型の修理が必要です。,Cần sửa khuôn.
v258,2.6,Sản xuất & QC (bổ sung),材料,zairyou,Nguyên liệu / Vật liệu,Material,J4,材料を発注してください。,Hãy đặt nguyên liệu.
v259,2.6,Sản xuất & QC (bổ sung),原材料,genzairyou,Nguyên vật liệu,Raw material,J3,原材料費が高騰しています。,Giá NVL đang tăng cao.
v260,2.6,Sản xuất & QC (bổ sung),組立,kumitate,Lắp ráp,Assembly,J3,組立ラインの効率を上げます。,Nâng hiệu suất dây chuyền lắp ráp.
v261,2.6,Sản xuất & QC (bổ sung),検査,kensa,Kiểm tra,Inspection,J3,出荷前検査を行います。,Kiểm tra trước xuất hàng.
v262,2.6,Sản xuất & QC (bổ sung),測定,sokutei,Đo lường,Measurement,J3,寸法を測定します。,Đo kích thước.
v263,2.6,Sản xuất & QC (bổ sung),基準,kijun,Tiêu chuẩn,Standard/criteria,J3,品質基準を満たしています。,Đạt tiêu chuẩn chất lượng.
v264,2.6,Sản xuất & QC (bổ sung),規格,kikaku,Quy cách / Quy chuẩn,Specification/standard,J3,規格外の製品が見つかりました。,Phát hiện SP ngoài quy cách.
v265,2.6,Sản xuất & QC (bổ sung),ライン,rain,Dây chuyền,Line,J4,ラインを停止してください。,Hãy dừng dây chuyền.
v266,2.6,Sản xuất & QC (bổ sung),設備,setsubi,Thiết bị,Equipment/facility,J3,設備のメンテナンスを行います。,Bảo trì thiết bị.
v267,2.6,Sản xuất & QC (bổ sung),保守,hoshu,Bảo trì / Bảo dưỡng,Maintenance,J3,定期保守を実施します。,Thực hiện bảo trì định kỳ.
v268,2.6,Sản xuất & QC (bổ sung),安全,anzen,An toàn,Safety,J4,安全第一で作業してください。,Làm việc an toàn trên hết.
v269,2.6,Sản xuất & QC (bổ sung),災害,saigai,Tai nạn / Thiên tai,Disaster/accident,J3,労働災害を防止します。,Phòng ngừa tai nạn lao động.
v270,2.7,IT & Công nghệ (bổ sung),ソフトウェア,sofutowea,Phần mềm,Software,J4,ソフトウェアをインストールしてください。,Hãy cài phần mềm.
v271,2.7,IT & Công nghệ (bổ sung),ハードウェア,haadowea,Phần cứng,Hardware,J4,ハードウェアの交換が必要です。,Cần thay phần cứng.
v272,2.7,IT & Công nghệ (bổ sung),データベース,deetabeesu,Cơ sở dữ liệu,Database,J3,データベースを更新します。,Cập nhật CSDL.
v273,2.7,IT & Công nghệ (bổ sung),ネットワーク,nettowaku,Mạng,Network,J4,ネットワーク障害が発生しました。,Xảy ra sự cố mạng.
v274,2.7,IT & Công nghệ (bổ sung),プログラム,puroguramu,Chương trình,Program,J4,新しいプログラムを開発します。,Phát triển chương trình mới.
v275,2.7,IT & Công nghệ (bổ sung),アプリ,apuri,Ứng dụng,Application/App,J4,業務用アプリを導入します。,Triển khai app nghiệp vụ.
v276,2.7,IT & Công nghệ (bổ sung),AI,ee ai,Trí tuệ nhân tạo,Artificial Intelligence,J3,AIを活用して業務を効率化します。,Dùng AI tăng hiệu quả công việc.
v277,2.7,IT & Công nghệ (bổ sung),DX,dii ekkusu,Chuyển đổi số,Digital Transformation,J2,DXを推進しています。,Đang đẩy mạnh chuyển đổi số.
v278,2.7,IT & Công nghệ (bổ sung),IoT,ai oo tii,Vạn vật kết nối,Internet of Things,J2,IoTセンサーを導入しました。,Đã triển khai cảm biến IoT.
v279,2.7,IT & Công nghệ (bổ sung),ログイン,roguin,Đăng nhập,Login,J4,システムにログインしてください。,Hãy đăng nhập hệ thống.
v280,2.7,IT & Công nghệ (bổ sung),パスワード,pasuwaado,Mật khẩu,Password,J4,パスワードを変更してください。,Hãy đổi mật khẩu.
v281,2.7,IT & Công nghệ (bổ sung),ダウンロード,daunroodo,Tải xuống,Download,J4,資料をダウンロードしてください。,Hãy tải tài liệu.
v282,2.7,IT & Công nghệ (bổ sung),アップロード,appuroodo,Tải lên,Upload,J4,ファイルをアップロードしてください。,Hãy upload file.
v283,2.7,IT & Công nghệ (bổ sung),ウイルス,uirusu,Virus,Virus,J4,ウイルスに感染しました。,Bị nhiễm virus.
v284,2.7,IT & Công nghệ (bổ sung),フィッシング,fisshingu,Lừa đảo trực tuyến,Phishing,J3,フィッシングメールに注意してください。,Cẩn thận email lừa đảo.
v285,2.7,IT & Công nghệ (bổ sung),リモートワーク,rimooto waaku,Làm việc từ xa,Remote work,J4,リモートワークが普及しています。,Làm việc từ xa phổ biến.
v286,2.7,IT & Công nghệ (bổ sung),テレワーク,tere waaku,Làm việc từ xa,Telework,J4,テレワーク制度を導入しました。,Đã áp dụng chế độ telework.
v287,2.7,IT & Công nghệ (bổ sung),オンライン会議,onrain kaigi,Họp trực tuyến,Online meeting,J4,オンライン会議のリンクを送ります。,Gửi link họp online.
v288,2.7,IT & Công nghệ (bổ sung),プロジェクト管理,purojekuto kanri,Quản lý dự án,Project management,J3,プロジェクト管理ツールを使っています。,Đang dùng tool quản lý DA.
v289,2.7,IT & Công nghệ (bổ sung),仕様書,shiyousho,Tài liệu spec,Specification document,J3,仕様書に基づいて開発します。,Phát triển theo tài liệu spec.
v290,2.8,Nhân sự & Lao động (bổ sung),採用,saiyou,Tuyển dụng,Hiring,J3,新卒採用を行います。,Tuyển dụng sinh viên mới.
v291,2.8,Nhân sự & Lao động (bổ sung),求人,kyuujin,Tuyển dụng / Tin tuyển,Job opening,J4,求人広告を出しました。,Đăng tin tuyển dụng.
v292,2.8,Nhân sự & Lao động (bổ sung),応募,oubo,Ứng tuyển,Apply,J4,この職種に応募したいです。,Muốn ứng tuyển vị trí này.
v293,2.8,Nhân sự & Lao động (bổ sung),内定,naitei,Nhận offer / Quyết định nội bộ,Job offer,J3,内定をいただきました。,Đã nhận được offer.
v294,2.8,Nhân sự & Lao động (bổ sung),入社,nyuusha,Vào công ty,Join company,J4,来月入社する予定です。,Dự kiến vào công ty tháng sau.
v295,2.8,Nhân sự & Lao động (bổ sung),試用期間,shiyou kikan,Thời gian thử việc,Probation,J3,試用期間は3ヶ月です。,Thử việc 3 tháng.
v296,2.8,Nhân sự & Lao động (bổ sung),解雇,kaiko,Sa thải,Dismissal/firing,J2,不当解雇は法律で禁止されています。,Sa thải bất hợp lý bị cấm.
v297,2.8,Nhân sự & Lao động (bổ sung),定年,teinen,Tuổi nghỉ hưu,Retirement age,J3,定年は65歳です。,Tuổi nghỉ hưu là 65.
v298,2.8,Nhân sự & Lao động (bổ sung),転職,tenshoku,Đổi việc,Change jobs,J3,転職を考えています。,Đang nghĩ đến đổi việc.
v299,2.8,Nhân sự & Lao động (bổ sung),福利厚生,fukuri kousei,Phúc lợi,Benefits/welfare,J3,福利厚生が充実しています。,Phúc lợi đầy đủ.
v300,2.8,Nhân sự & Lao động (bổ sung),社会保険,shakai hoken,Bảo hiểm xã hội,Social insurance,J3,社会保険に加入しています。,Đã tham gia BHXH.
v301,2.8,Nhân sự & Lao động (bổ sung),労働基準法,roudou kijunhou,Luật tiêu chuẩn LĐ,Labor Standards Act,J2,労働基準法を遵守してください。,Tuân thủ luật LĐ.
v302,2.8,Nhân sự & Lao động (bổ sung),就業規則,shuugyou kisoku,Nội quy lao động,Work regulations,J3,就業規則を確認してください。,Hãy xem nội quy.
v303,2.8,Nhân sự & Lao động (bổ sung),人事評価,jinji hyouka,Đánh giá nhân sự,Performance review,J3,人事評価の時期です。,Đến kỳ đánh giá.
v304,2.8,Nhân sự & Lao động (bổ sung),昇給,shoukyuu,Tăng lương,Salary increase,J3,昇給は年1回です。,Tăng lương 1 lần/năm.
v305,2.8,Nhân sự & Lao động (bổ sung),減給,genkyuu,Giảm lương,Salary cut,J2,減給処分を受けました。,Bị xử phạt giảm lương.
v306,2.8,Nhân sự & Lao động (bổ sung),年末調整,nenmatsu chousei,Quyết toán thuế cuối năm,Year-end tax adjustment,J3,年末調整の書類を提出してください。,Nộp giấy tờ quyết toán thuế.
v307,2.8,Nhân sự & Lao động (bổ sung),扶養,fuyou,Người phụ thuộc,Dependent,J3,扶養家族がいますか。,Có người phụ thuộc không?
v308,2.8,Nhân sự & Lao động (bổ sung),通勤,tsuukin,Đi làm / Đi lại,Commute,J4,通勤時間は1時間です。,Thời gian đi làm 1 tiếng.
v309,2.8,Nhân sự & Lao động (bổ sung),時間外労働,jikangai roudou,Làm ngoài giờ,Overtime work,J3,時間外労働は月45時間が上限です。,Ngoài giờ tối đa 45h/tháng.
v310,2.9,Pháp luật & Hợp đồng,法律,houritsu,Pháp luật / Luật,Law,J3,法律を遵守してください。,Tuân thủ pháp luật.
v311,2.9,Pháp luật & Hợp đồng,法令,hourei,Pháp lệnh,Laws and regulations,J2,関連法令を確認します。,Xác nhận pháp lệnh liên quan.
v312,2.9,Pháp luật & Hợp đồng,規約,kiyaku,Quy ước / Điều khoản,Terms/rules,J3,利用規約に同意してください。,Đồng ý điều khoản sử dụng.
v313,2.9,Pháp luật & Hợp đồng,条項,joukou,Điều khoản,Clause/article,J2,契約書の第3条項を確認してください。,Xác nhận điều khoản thứ 3.
v314,2.9,Pháp luật & Hợp đồng,条件,jouken,Điều kiện,Condition/terms,J3,取引条件を交渉します。,Đàm phán điều kiện giao dịch.
v315,2.9,Pháp luật & Hợp đồng,義務,gimu,Nghĩa vụ,Obligation,J2,契約上の義務を果たします。,Thực hiện nghĩa vụ hợp đồng.
v316,2.9,Pháp luật & Hợp đồng,権利,kenri,Quyền,Right,J2,著作権を保護します。,Bảo vệ quyền tác giả.
v317,2.9,Pháp luật & Hợp đồng,違反,ihan,Vi phạm,Violation,J2,規則に違反しています。,Vi phạm quy tắc.
v318,2.9,Pháp luật & Hợp đồng,罰則,bassoku,Chế tài / Phạt,Penalty,J2,罰則が適用されます。,Áp dụng chế tài.
v319,2.9,Pháp luật & Hợp đồng,訴訟,soshou,Kiện tụng,Lawsuit,J1,訴訟を回避したいです。,Muốn tránh kiện tụng.
v320,2.9,Pháp luật & Hợp đồng,和解,wakai,Hòa giải,Settlement,J1,和解が成立しました。,Đã hòa giải thành công.
v321,2.9,Pháp luật & Hợp đồng,紛争,funsou,Tranh chấp,Dispute,J2,紛争を解決します。,Giải quyết tranh chấp.
v322,2.9,Pháp luật & Hợp đồng,知的財産,chiteki zaisan,Sở hữu trí tuệ,Intellectual property,J1,知的財産権を守ります。,Bảo vệ quyền SHTT.
v323,2.9,Pháp luật & Hợp đồng,特許,tokkyo,Bằng sáng chế,Patent,J2,特許を申請しました。,Đã nộp đơn bằng sáng chế.
v324,2.9,Pháp luật & Hợp đồng,商標,shouhyou,Nhãn hiệu,Trademark,J2,商標を登録します。,Đăng ký nhãn hiệu.
v325,2.9,Pháp luật & Hợp đồng,秘密保持契約,himitsu hoji keiyaku,Thỏa thuận bảo mật,NDA,J2,秘密保持契約を締結します。,Ký thỏa thuận bảo mật.
v326,2.9,Pháp luật & Hợp đồng,損害賠償,songai baishou,Bồi thường thiệt hại,Compensation,J1,損害賠償を請求されました。,Bị yêu cầu bồi thường.
v327,2.9,Pháp luật & Hợp đồng,免責,menseki,Miễn trách,Disclaimer,J1,免責事項をご確認ください。,Hãy xem điều khoản miễn trách.
v328,2.9,Pháp luật & Hợp đồng,有効期限,yuukou kigen,Thời hạn hiệu lực,Expiration date,J3,契約の有効期限は来年3月末です。,Hợp đồng hết hạn cuối T3 năm sau.
v329,2.9,Pháp luật & Hợp đồng,更新,koushin,Gia hạn / Cập nhật,Renewal/update,J3,契約を更新します。,Gia hạn hợp đồng.
v330,2.10,Logistics & Vận chuyển,物流,butsuryuu,Logistics / Vận chuyển,Logistics,J3,物流コストを削減します。,Giảm chi phí logistics.
v331,2.10,Logistics & Vận chuyển,配送,haisou,Giao hàng / Vận chuyển,Delivery/shipping,J3,配送日を指定できます。,Có thể chỉ định ngày giao.
v332,2.10,Logistics & Vận chuyển,輸送,yusou,Vận chuyển,Transport,J3,国際輸送の手配をします。,Sắp xếp vận chuyển quốc tế.
v333,2.10,Logistics & Vận chuyển,輸出,yushutsu,Xuất khẩu,Export,J3,製品を海外に輸出しています。,Đang xuất khẩu SP ra nước ngoài.
v334,2.10,Logistics & Vận chuyển,輸入,yunyuu,Nhập khẩu,Import,J3,原材料を輸入しています。,Đang nhập khẩu NVL.
v335,2.10,Logistics & Vận chuyển,通関,tsuukan,Thông quan,Customs clearance,J2,通関手続きを行います。,Làm thủ tục thông quan.
v336,2.10,Logistics & Vận chuyển,関税,kanzei,Thuế quan,Customs duty,J2,関税がかかります。,Phải chịu thuế quan.
v337,2.10,Logistics & Vận chuyển,倉庫,souko,Kho,Warehouse,J3,倉庫に保管しています。,Đang lưu kho.
v338,2.10,Logistics & Vận chuyển,荷物,nimotsu,Hàng hóa / Bưu kiện,Package/cargo,J4,荷物が届きました。,Hàng đã đến.
v339,2.10,Logistics & Vận chuyển,梱包,konpou,Đóng gói,Packing,J3,丁寧に梱包してください。,Hãy đóng gói cẩn thận.
v340,2.10,Logistics & Vận chuyển,追跡,tsuiseki,Theo dõi,Tracking,J3,荷物の追跡番号をお知らせします。,Thông báo mã theo dõi hàng.
v341,2.10,Logistics & Vận chuyển,到着,touchaku,Đến nơi,Arrival,J4,荷物は明日到着予定です。,Hàng dự kiến đến mai.
v342,2.10,Logistics & Vận chuyển,遅延,chien,Chậm trễ,Delay,J3,配送に遅延が発生しています。,Giao hàng bị chậm.
v343,2.10,Logistics & Vận chuyển,返品,henpin,Trả hàng,Return,J3,不良品を返品します。,Trả lại hàng lỗi.
v344,2.10,Logistics & Vận chuyển,交換,koukan,Đổi hàng,Exchange,J3,新品と交換いたします。,Đổi hàng mới.
